global_index,file_name,chunk_index,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R)
1478,D807__S2__M13_00_000,20,0.5848886423601902,0.5848886423601902,0.4662442503879575,0.4662442503879573,1.2720638513565063,1.2720638513565063,2.0276167392730713,2.0276167392730713,-0.4138086542682043,-0.4138086542682043,6.651791101507543,6.651791101507543,-32.476208663697825,-32.476208663697825,-0.04281430433259799,-0.04281430433259799,-0.02386118015780133,-0.02386118015780133,-3.942260061343355,-3.942260061343355
1486,D807__S2__M13_00_000,28,0.46669206018373244,0.46669206018373244,0.30259361702172827,0.3025936170217282,1.1021512746810913,1.1021512746810913,1.5369335412979126,1.5369335412979126,-0.12990436591784205,-0.12990436591784205,3.709830927576338,3.709830927576338,-22.1949538077638,-22.1949538077638,-0.04547785080098391,-0.04547785080098391,-0.03745234233481997,-0.03745234233481997,-3.980278778190055,-3.980278778190055
1489,D807__S2__M13_00_000,31,0.5325173399799336,0.5325173399799336,0.32734272093915406,0.32734272093915434,1.2129255533218384,1.2129255533218384,1.9690606594085693,1.9690606594085693,-0.20245540964155093,-0.20245540964155093,5.666407323832847,5.666407323832847,-37.767467041854744,-37.767467041854744,-0.025818531881462558,-0.025818531881462558,-0.013990795305523296,-0.013990795305523296,-2.505956962592326,-2.505956962592326
1494,D807__S2__M13_00_000,36,0.5226685074053307,0.5226685074053307,0.44446803991604483,0.44446803991604483,1.0298253297805786,1.0298253297805786,0.49554452300071716,0.49554452300071716,-0.252377118985008,-0.252377118985008,5.091521513192993,5.091521513192993,-51.63682594302816,-51.63682594302816,-0.041978873517539185,-0.041978873517539185,-0.008088029358956665,-0.008088029358956665,-7.608297262003902,-7.608297262003902
1507,D807__S2__M14_00_000,3,0.47956964720383605,0.47956964720383605,0.3479902278396817,0.34799022783968175,1.0300041437149048,1.0300041437149048,0.31693488359451294,0.31693488359451294,-0.9642244756820855,-0.9642244756820855,5.2289369849432354,5.2289369849432354,-28.595299190046713,-28.595299190046713,-0.057007607755331174,-0.057007607755331174,0.04273736904805289,0.04273736904805289,-10.734416533134468,-10.734416533134468
1513,D807__S2__M14_00_000,9,0.625372431439806,0.625372431439806,0.4188843472212351,0.41888434722123497,1.2222665548324585,1.2222665548324585,1.9684369564056396,1.9684369564056396,-0.08435774110507362,-0.08435774110507362,5.0863605614841125,5.0863605614841125,-22.82661125179784,-22.82661125179784,0.020097980084662563,0.020097980084662563,0.02563336329114326,0.02563336329114326,-0.8286847142755728,-0.8286847142755728
1517,D807__S2__M14_00_000,13,0.273305479389931,0.273305479389931,0.2396248149976625,0.2396248149976628,1.0288869142532349,1.0288869142532349,0.7885672450065613,0.7885672450065613,-0.26672559447433114,-0.26672559447433114,6.031586698670398,6.031586698670398,-28.402374545457178,-28.402374545457178,-0.015939059400526794,-0.015939059400526794,0.031129343531443362,0.031129343531443362,-9.630179098430371,-9.630179098430371
1518,D807__S2__M14_00_000,14,0.05456598170675428,0.05456598170675428,0.08352618208238934,0.08352618208238906,1.4855948686599731,1.4855948686599731,2.4958906173706055,2.4958906173706055,0.02351480882799566,0.02351480882799566,3.8929123354597057,3.8929123354597057,-20.769852805586947,-20.769852805586947,0.029772910411144344,0.029772910411144344,0.03746925958724655,0.03746925958724655,-2.350398379568233,-2.350398379568233
1521,D807__S2__M14_00_000,17,0.39510768903061777,0.39510768903061777,0.2590543239619929,0.25905432396199274,1.058859944343567,1.058859944343567,0.7755431532859802,0.7755431532859802,-0.9263110997125252,-0.9263110997125252,4.578497850465214,4.578497850465214,-30.27420629403458,-30.27420629403458,-0.04719131598764276,-0.04719131598764276,0.03247848686070327,0.03247848686070327,-12.24138561933537,-12.24138561933537
1525,D807__S2__M14_00_000,21,0.4827484725687877,0.4827484725687877,0.2582466142232599,0.2582466142232603,1.1692012548446655,1.1692012548446655,1.6429932117462158,1.6429932117462158,-1.3020824862142981,-1.3020824862142981,6.797756101505595,6.797756101505595,-23.348719636437604,-23.348719636437604,-0.1810718832955001,-0.1810718832955001,0.14528186458855474,0.14528186458855474,-11.155344745005692,-11.155344745005692
1547,D807__S2__M15_00_000,2,0.4340673652364966,0.4340673652364966,0.22761193304701788,0.22761193304701766,1.0337072610855103,1.0337072610855103,-0.10389671474695206,-0.10389671474695206,-1.18499787079676,-1.18499787079676,6.699796917119333,6.699796917119333,-22.14981761485079,-22.14981761485079,-0.0763097509122521,-0.0763097509122521,0.14918719939399205,0.14918719939399205,-13.39238293704616,-13.39238293704616
1550,D807__S2__M15_00_000,5,0.26294915097896393,0.26294915097896393,0.168419168499569,0.16841916849956923,1.0762609243392944,1.0762609243392944,0.8989312052726746,0.8989312052726746,-1.2558119467227384,-1.2558119467227384,5.389199804907337,5.389199804907337,-37.68559525893243,-37.68559525893243,-0.3001849202996673,-0.3001849202996673,-0.045383604854067824,-0.045383604854067824,-11.99866412101917,-11.99866412101917
1579,D807__S2__M15_00_000,34,0.5508009673301255,0.5508009673301255,0.33031122977099375,0.3303112297709935,1.2004953622817993,1.2004953622817993,1.9519990682601929,1.9519990682601929,-0.15292497045559653,-0.15292497045559653,5.58064328336988,5.58064328336988,-12.833337358946439,-12.833337358946439,0.11853562769616413,0.11853562769616413,0.13299963652946623,0.13299963652946623,-2.1275311979491836,-2.1275311979491836
1582,D807__S2__M15_00_000,37,0.7489810931969278,0.7489810931969278,0.5265664166752144,0.5265664166752138,1.3658723831176758,1.3658723831176758,2.288466215133667,2.288466215133667,-0.04584213839620863,-0.04584213839620863,1.8450305970484375,1.8450305970484375,-8.45430634243564,-8.45430634243564,0.1496645320539531,0.1496645320539531,0.15629891370194027,0.15629891370194027,-0.9007255165057061,-0.9007255165057061
1586,D807__S2__M16_00_000,4,0.399101356580886,0.399101356580886,0.2920288874667469,0.2920288874667469,1.0588579177856445,1.0588579177856445,1.4058542251586914,1.4058542251586914,-0.5865455783806557,-0.5865455783806557,5.822808191297701,5.822808191297701,-27.984299192370997,-27.984299192370997,-0.11115518342675457,-0.11115518342675457,-0.04551172213960532,-0.04551172213960532,-14.965352741870127,-14.965352741870127
1615,D807__S2__M18_00_000,3,0.3818824616055064,0.3818824616055064,0.29206303908853054,0.2920630390885302,1.0530601739883423,1.0530601739883423,0.4890070855617523,0.4890070855617523,-0.22350069508835957,-0.22350069508835957,4.763343355391718,4.763343355391718,-29.18314116244236,-29.18314116244236,-0.007628897223272407,-0.007628897223272407,0.021397346823503173,0.021397346823503173,-7.183149701355942,-7.183149701355942
1630,D807__S2__M18_00_000,18,1e-05,1e-05,1e-05,1e-05,1.1287404298782349,1.1287404298782349,1.9116023778915405,1.9116023778915405,0.1294115925450443,0.1294115925450443,4.786729869287679,4.786729869287679,-21.796793947126176,-21.796793947126176,0.022551742596606028,0.022551742596606028,0.030182736022751032,0.030182736022751032,-10.12313898791187,-10.12313898791187
1650,D807__S2__M20_00_000,1,0.3509355860670367,0.3509355860670367,0.2861430293921549,0.2861430293921548,1.1141376495361328,1.1141376495361328,1.7572605609893799,1.7572605609893799,-0.09679396606546066,-0.09679396606546066,4.225293519855068,4.225293519855068,-20.60314045310022,-20.60314045310022,0.033526467010465875,0.033526467010465875,0.04460919496775592,0.04460919496775592,-2.7357796272620707,-2.7357796272620707
